"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-11-04T17:49:00.000Z","159.43","159.48","159.43","159.48","0.03","0.03","0"
"2024-11-04T17:50:00.000Z","159.48","159.52","159.48","159.51","0.02","0.02","0"
"2024-11-04T17:51:00.000Z","159.51","159.53","159.50","159.53","0.01","0.01","0"
"2024-11-04T17:52:00.000Z","159.53","159.56","159.53","159.56","0.02","0.02","0"
"2024-11-04T17:53:00.000Z","159.56","159.57","159.55","159.55","0","0","0"
"2024-11-04T17:54:00.000Z","159.55","159.56","159.55","159.55","0","0","0"
"2024-11-04T17:55:00.000Z","159.55","159.55","159.54","159.55","0","0","0"
"2024-11-04T17:56:00.000Z","159.55","159.55","159.52","159.52","-0.02","-0.02","0"
"2024-11-04T17:57:00.000Z","159.52","159.52","159.50","159.50","-0.01","-0.01","0"
"2024-11-04T17:58:00.000Z","159.50","159.50","159.48","159.48","-0.02","-0.02","0"
"2024-11-04T17:59:00.000Z","159.48","159.50","159.48","159.50","0.01","0.02","0"
"2024-11-04T18:00:00.000Z","159.50","159.51","159.50","159.51","0.01","0.01","0"
"2024-11-04T18:01:00.000Z","159.51","159.51","159.47","159.47","-0.03","-0.03","0"
"2024-11-04T18:02:00.000Z","159.47","159.47","159.31","159.31","-0.10","-0.10","0"
"2024-11-04T18:03:00.000Z","159.31","159.31","159.24","159.24","-0.04","-0.04","0"
"2024-11-04T18:04:00.000Z","159.23","159.23","159.22","159.22","-0.01","-0.01","0"
"2024-11-04T18:05:00.000Z","159.22","159.24","159.22","159.24","0.01","0.01","0"
"2024-11-04T18:06:00.000Z","159.24","159.24","159.23","159.23","-0.01","-0.01","0"
"2024-11-04T18:07:00.000Z","159.22","159.22","159.05","159.05","-0.11","-0.11","0"
"2024-11-04T18:08:00.000Z","159.05","159.05","159.02","159.03","-0.01","-0.01","0"
"2024-11-04T18:09:00.000Z","159.03","159.04","159.03","159.04","0.01","0.01","0"
"2024-11-04T18:10:00.000Z","159.04","159.07","159.04","159.06","0.01","0.01","0"
"2024-11-04T18:11:00.000Z","159.09","159.09","159.08","159.09","0.02","0.02","0"
"2024-11-04T18:12:00.000Z","159.09","159.13","159.09","159.13","0.03","0.03","0"
"2024-11-04T18:13:00.000Z","159.13","159.17","159.13","159.16","0.02","0.02","0"
"2024-11-04T18:14:00.000Z","159.16","159.18","159.16","159.18","0.01","0.01","0"
"2024-11-04T18:15:00.000Z","159.17","159.17","159.16","159.17","-0.01","-0.01","0"
"2024-11-04T18:16:00.000Z","159.17","159.17","159.17","159.17","0","0","0"
"2024-11-04T18:17:00.000Z","159.17","159.17","159.16","159.17","0","0","0"
"2024-11-04T18:18:00.000Z","159.17","159.18","159.17","159.18","0.01","0.01","0"
"2024-11-04T18:19:00.000Z","159.18","159.18","159.17","159.17","-0.01","0","0"
"2024-11-04T18:20:00.000Z","159.16","159.17","159.16","159.16","-0.01","-0.01","0"
"2024-11-04T18:21:00.000Z","159.15","159.15","159.11","159.12","-0.02","-0.02","0"
"2024-11-04T18:22:00.000Z","159.12","159.12","159.12","159.12","0","0","0"
"2024-11-04T18:23:00.000Z","159.12","159.12","159.11","159.11","-0.01","0","0"
"2024-11-04T18:24:00.000Z","159.11","159.11","159.09","159.09","-0.01","-0.01","0"
"2024-11-04T18:25:00.000Z","159.09","159.14","159.09","159.14","0.03","0.03","0"
"2024-11-04T18:26:00.000Z","159.14","159.14","159.14","159.14","0","0","0"
"2024-11-04T18:27:00.000Z","159.14","159.14","159.14","159.14","0","0","0"
"2024-11-04T18:28:00.000Z","159.14","159.14","159.12","159.12","-0.01","-0.01","0"
"2024-11-04T18:29:00.000Z","159.12","159.12","159.03","159.04","-0.05","-0.05","0"
"2024-11-04T18:30:00.000Z","159.04","159.04","159.02","159.02","-0.01","-0.01","0"
"2024-11-04T18:31:00.000Z","159.02","159.03","159.02","159.03","0","0","0"
"2024-11-04T18:32:00.000Z","159.03","159.04","159.03","159.04","0.01","0.01","0"
"2024-11-04T18:33:00.000Z","159.04","159.08","159.04","159.08","0.03","0.03","0"
"2024-11-04T18:34:00.000Z","159.09","159.10","159.09","159.09","0.01","0.01","0"
"2024-11-04T18:35:00.000Z","159.10","159.13","159.10","159.12","0.02","0.02","0"
"2024-11-04T18:36:00.000Z","159.12","159.13","159.12","159.13","0","0","0"
"2024-11-04T18:37:00.000Z","159.13","159.21","159.13","159.21","0.05","0.05","0"
"2024-11-04T18:38:00.000Z","159.22","159.26","159.22","159.26","0.03","0.03","0"
"2024-11-04T18:39:00.000Z","159.26","159.27","159.25","159.27","0.01","0.01","0"
"2024-11-04T18:40:00.000Z","159.27","159.28","159.27","159.28","0","0","0"
"2024-11-04T18:41:00.000Z","159.28","159.30","159.28","159.30","0.01","0.01","0"
"2024-11-04T18:42:00.000Z","159.30","159.31","159.29","159.29","-0.01","-0.01","0"
"2024-11-04T18:43:00.000Z","159.31","159.31","159.24","159.24","-0.03","-0.03","0"
"2024-11-04T18:44:00.000Z","159.24","159.24","159.23","159.24","0","0","0"
"2024-11-04T18:45:00.000Z","159.24","159.25","159.24","159.25","0.01","0.01","0"
"2024-11-04T18:46:00.000Z","159.25","159.26","159.24","159.24","-0.01","-0.01","0"
"2024-11-04T18:47:00.000Z","159.24","159.24","159.22","159.22","-0.01","-0.01","0"
"2024-11-04T18:48:00.000Z","159.22","159.22","159.22","159.22","0","0","0"
"2024-11-04T18:49:00.000Z","159.22","159.22","159.21","159.22","0","0","0"
"2024-11-04T18:50:00.000Z","159.23","159.23","159.18","159.18","-0.02","-0.02","0"
"2024-11-04T18:51:00.000Z","159.18","159.18","159.17","159.18","0","0","0"
"2024-11-04T18:52:00.000Z","159.18","159.20","159.18","159.20","0.01","0.01","0"
"2024-11-04T18:53:00.000Z","159.20","159.21","159.20","159.21","0.01","0.01","0"
"2024-11-04T18:54:00.000Z","159.21","159.22","159.21","159.21","0","0","0"
"2024-11-04T18:55:00.000Z","159.20","159.20","159.19","159.19","-0.01","-0.01","0"
"2024-11-04T18:56:00.000Z","159.19","159.19","159.12","159.14","-0.03","-0.03","0"
"2024-11-04T18:57:00.000Z","159.14","159.16","159.14","159.15","0.01","0.01","0"
"2024-11-04T18:58:00.000Z","159.16","159.17","159.16","159.17","0.01","0.01","0"
"2024-11-04T18:59:00.000Z","159.17","159.17","159.12","159.12","-0.03","-0.03","0"
"2024-11-04T19:00:00.000Z","159.13","159.13","159.13","159.13","0","0.01","0"
"2024-11-04T19:01:00.000Z","159.13","159.15","159.13","159.15","0.01","0.01","0"
"2024-11-04T19:02:00.000Z","159.15","159.15","159.15","159.15","0","0","0"
"2024-11-04T19:03:00.000Z","159.15","159.15","159.13","159.14","-0.01","-0.01","0"
"2024-11-04T19:04:00.000Z","159.14","159.14","159.09","159.09","-0.03","-0.03","0"
"2024-11-04T19:05:00.000Z","159.08","159.10","159.08","159.10","0.01","0.01","0"
"2024-11-04T19:06:00.000Z","159.10","159.13","159.10","159.13","0.02","0.02","0"
"2024-11-04T19:07:00.000Z","159.14","159.18","159.14","159.18","0.03","0.03","0"
"2024-11-04T19:08:00.000Z","159.18","159.20","159.18","159.20","0.01","0.01","0"
"2024-11-04T19:09:00.000Z","159.20","159.24","159.20","159.23","0.02","0.02","0"
"2024-11-04T19:10:00.000Z","159.23","159.25","159.22","159.22","-0.01","-0.01","0"
"2024-11-04T19:11:00.000Z","159.21","159.23","159.21","159.22","0","0","0"
"2024-11-04T19:12:00.000Z","159.21","159.23","159.21","159.21","0","0","0"
"2024-11-04T19:13:00.000Z","159.21","159.21","159.20","159.20","0","0","0"
"2024-11-04T19:14:00.000Z","159.20","159.20","159.17","159.20","0","0","0"
"2024-11-04T19:15:00.000Z","159.20","159.20","159.17","159.18","-0.01","-0.01","0"
"2024-11-04T19:16:00.000Z","159.18","159.20","159.18","159.19","0","0","0"
"2024-11-04T19:17:00.000Z","159.18","159.18","159.15","159.15","-0.02","-0.02","0"
"2024-11-04T19:18:00.000Z","159.15","159.15","159.12","159.12","-0.02","-0.02","0"
"2024-11-04T19:19:00.000Z","159.12","159.12","159.05","159.05","-0.04","-0.04","0"
"2024-11-04T19:20:00.000Z","159.05","159.05","159.02","159.02","-0.01","-0.01","0"
"2024-11-04T19:21:00.000Z","159.02","159.02","158.99","158.99","-0.02","-0.02","0"
"2024-11-04T19:22:00.000Z","158.98","158.99","158.98","158.99","0","0","0"
"2024-11-04T19:23:00.000Z","158.99","158.99","158.97","158.97","-0.02","-0.02","0"
"2024-11-04T19:24:00.000Z","158.97","158.97","158.95","158.95","-0.01","-0.01","0"
"2024-11-04T19:25:00.000Z","158.95","158.95","158.94","158.94","0","0","0"
"2024-11-04T19:26:00.000Z","158.94","158.96","158.92","158.96","0.01","0.01","0"
"2024-11-04T19:27:00.000Z","158.96","158.97","158.96","158.97","0","0","0"
"2024-11-04T19:28:00.000Z","158.97","158.97","158.97","158.97","0","0","0"
"2024-11-04T19:29:00.000Z","158.97","158.97","158.96","158.96","0","0","0"
"2024-11-04T19:30:00.000Z","158.97","158.97","158.94","158.95","-0.01","-0.01","0"
"2024-11-04T19:31:00.000Z","158.95","158.97","158.95","158.97","0.01","0.01","0"
"2024-11-04T19:32:00.000Z","158.96","158.98","158.96","158.98","0.01","0.01","0"
"2024-11-04T19:33:00.000Z","158.98","159.02","158.98","159.02","0.02","0.03","0"
"2024-11-04T19:34:00.000Z","159.02","159.03","159.02","159.03","0.01","0.01","0"
